id;date;en;sk;de
f2a33f8f-6f2c-4aea-b46c-b967f7f1d4e0;2026-05-08T02:22:29Z;When a server reaches Endgame, company mergers are now also blocked and return a clear \"The game has ended. No further operations are allowed.\" message to keep the economy fully frozen.;Keď server dosiahne Endgame, zlúčenia spoločností sú teraz tiež zablokované a vracajú jasnú správu „Hra sa skončila. Ďalšie operácie nie sú povolené.“, aby ekonomika zostala úplne zmrazená.;Wenn ein Server das Endgame erreicht, sind Unternehmensfusionen jetzt ebenfalls blockiert und geben die klare Meldung „Das Spiel ist beendet. Weitere Vorgänge sind nicht erlaubt.“ zurück, damit die Wirtschaft vollständig eingefroren bleibt.
f669bcd2-bc8d-4b82-942f-c96b533578a1;2026-05-08T01:46:40Z;The Wealth Leaderboard now shows a Win Condition panel with the top-5 real-world billionaire wealth targets, including Target/Surpassed badges and formatted billion-dollar values, so players can track their progress toward the endgame win condition.;Rebríček bohatstva teraz zobrazuje panel Podmienky výhry s 5 cieľmi bohatstva skutočných miliardárov, vrátane odznakov Cieľ/Prekonaný a hodnôt v miliardách, aby hráči mohli sledovať postup k endgame podmienke výhry.;Das Vermögens-Leaderboard zeigt jetzt ein Siegbedingungen-Panel mit den Top-5-Vermögenszielen realer Milliardäre, inklusive Ziel/Übertroffen-Abzeichen und formatierten Milliardenwerten, damit Spieler ihren Fortschritt zum Endgame-Sieg verfolgen können.
cf0a8a6f-a9d5-4ff8-9f7a-d32d2057ba20;2026-05-08T01:16:30Z;Onboarding now lets you manually edit your generated in-game name with a privacy warning, and the master portal now includes in-game name settings that update your cross-server identity.;Onboarding teraz umožňuje ručne upraviť vygenerované herné meno s upozornením na súkromie a master portál teraz obsahuje nastavenia herného mena, ktoré aktualizujú vašu identitu naprieč servermi.;Das Onboarding erlaubt jetzt das manuelle Bearbeiten des generierten In-Game-Namens mit Datenschutzhinweis, und das Master-Portal enthält nun In-Game-Namenseinstellungen, die Ihre serverübergreifende Identität aktualisieren.
6984140f-a64f-4f68-b722-243dfbd37bdb;2026-05-08T00:29:32Z;Endgame benchmarks now come from a seeded RealWorldBillionaire table and are exposed through the new realWorldBenchmarks and gameEndState GraphQL queries for final leaderboard and lockout UI.;Endgame benchmarky teraz pochádzajú zo seedovanej tabuľky RealWorldBillionaire a sú dostupné cez nové GraphQL query realWorldBenchmarks a gameEndState pre finálny rebríček a UI uzamknutia.;Endgame-Benchmarks stammen jetzt aus einer vorbefüllten RealWorldBillionaire-Tabelle und sind über die neuen GraphQL-Abfragen realWorldBenchmarks und gameEndState für finale Rangliste und Sperrmodus-UI verfügbar.
9f3f4a0c-58f2-4ae1-8f63-73ec9ff8f2cf;2026-05-08T00:03:33Z;Personal account naming now auto-retries unique pseudonyms during onboarding, keeps generated names within 30 characters, and adds a random-name button in player settings.;Pomenovanie osobného účtu teraz počas onboardingu automaticky opakuje generovanie jedinečného pseudonymu, drží vygenerované mená do 30 znakov a pridáva tlačidlo na náhodné meno v nastaveniach hráča.;Die Benennung des persönlichen Kontos versucht im Onboarding jetzt automatisch erneut ein eindeutiges Pseudonym zu erzeugen, hält generierte Namen innerhalb von 30 Zeichen und fügt in den Spielereinstellungen eine Schaltfläche für Zufallsnamen hinzu.
4816d6dd-03d9-4ce3-9e7f-045735ebef2f;2026-05-07T23:32:52Z;Endgame UX now includes a full-screen server-complete overlay with final rankings, share action, and personal wealth progress toward the real-world top-5 target plus a documented win-condition section in the encyclopedia.;UX Endgame teraz obsahuje celoobrazovkové prekrytie dokončeného servera s finálnym rebríčkom, tlačidlom zdieľania a progresom osobného bohatstva k reálnemu top-5 cieľu spolu s popisom podmienky víťazstva v encyklopédii.;Die Endgame-UX enthält jetzt ein bildschirmfüllendes Overlay zum Serverabschluss mit finaler Rangliste, Teilen-Aktion und Fortschritt des persönlichen Vermögens zum realen Top-5-Ziel sowie einen dokumentierten Siegbedingungsabschnitt in der Enzyklopädie.
6a1a31a7-9ca1-4a8b-b65e-3bfe1dd939f8;2026-05-07T22:13:16Z;Endgame is now live: the game shows real-world top-5 wealth targets, automatically ends the server when a player beats the target threshold, publishes a final ranking report, and marks completed shards on the master portal.;Endgame je teraz aktívny: hra zobrazuje top 5 reálnych cieľov bohatstva, automaticky ukončí server keď hráč prekoná cieľový limit, publikuje finálnu správu s rebríčkom a označí dokončené servery na master portáli.;Das Endgame ist jetzt live: Das Spiel zeigt die Top-5-Reichtumsziele aus der realen Welt, beendet den Server automatisch wenn ein Spieler den Zielwert übertrifft, veröffentlicht einen finalen Ranglistenbericht und markiert abgeschlossene Shards im Master-Portal.
1774e289-bd77-4e6a-8f8f-063e009627ce;2026-05-07T22:02:30Z;Master portal home now restores the guest Sign in CTA and hero heading while keeping personal account name display for signed-in players.;Domovská stránka master portálu teraz opäť zobrazuje hosťovské CTA Sign in a hero nadpis, pričom pre prihlásených hráčov zachováva zobrazenie osobného názvu účtu.;Die Startseite des Master-Portals zeigt nun wieder die Gast-CTA „Sign in“ und die Hero-Überschrift, während für angemeldete Spieler weiterhin der persönliche Kontoname angezeigt wird.
83bb321a-fd5f-4e36-aec9-32a6fd006876;2026-05-07T21:12:53Z;Onboarding now generates a reusable personal account pseudonym, rankings and profiles use it across servers, and players can update it in settings with uniqueness checks.;Onboarding teraz generuje znovupoužiteľný pseudonym osobného účtu, rebríčky a profily ho používajú naprieč servermi a hráči ho môžu meniť v nastaveniach s kontrolou jedinečnosti.;Das Onboarding generiert jetzt ein wiederverwendbares Pseudonym für das persönliche Konto, Ranglisten und Profile verwenden es serverübergreifend, und Spieler können es in den Einstellungen mit Eindeutigkeitsprüfung ändern.
83ba83ff-12fe-406d-a6bb-bb56f7c57d06;2026-05-07T19:44:37Z;Operations Dashboard is now consolidated under /operations/statistics with section navigation, a dedicated news editor route, sortable player and product analytics tables, CSV export, and live money-flow/product admin analytics queries.;Operačný dashboard je teraz zjednotený pod /operations/statistics s navigáciou sekcií, samostatnou routou editora noviniek, triediteľnými tabuľkami hráčov a produktovej analytiky, CSV exportom a živými admin analytickými query pre peňažné toky a produkty.;Das Operations-Dashboard ist jetzt unter /operations/statistics konsolidiert mit Bereichsnavigation, separater News-Editor-Route, sortierbaren Spieler- und Produktanalyse-Tabellen, CSV-Export sowie live Admin-Analytikabfragen für Geldflüsse und Produkte.
